,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
0,38.0,0.53,2,157,3,0,1,0,sales,low
1,80.0,0.86,5,262,6,0,1,0,sales,medium
2,11.0,0.88,7,272,4,0,1,0,sales,medium
3,72.0,0.87,5,223,5,0,1,0,sales,low
4,37.0,0.52,2,159,3,0,1,0,sales,low
5,41.0,0.5,2,153,3,0,1,0,sales,low
6,10.0,0.77,6,247,4,0,1,0,sales,low
7,92.0,0.85,5,259,5,0,1,0,sales,low
8,89.0,1.0,5,224,5,0,1,0,sales,low
9,42.0,0.53,2,142,3,0,1,0,sales,low
10,45.0,0.54,2,135,3,0,1,0,sales,low
11,11.0,0.81,6,305,4,0,1,0,sales,low
12,84.0,0.92,4,234,5,0,1,0,sales,low
13,41.0,0.55,2,148,3,0,1,0,sales,low
14,36.0,0.56,2,137,3,0,1,0,sales,low
15,38.0,0.54,2,143,3,0,1,0,sales,low
16,45.0,0.47,2,160,3,0,1,0,sales,low
17,78.0,0.99,4,255,6,0,1,0,sales,low
18,45.0,0.51,2,160,3,1,1,1,sales,low
19,76.0,0.89,5,262,5,0,1,0,sales,low
20,11.0,0.83,6,282,4,0,1,0,sales,low
21,38.0,0.55,2,147,3,0,1,0,sales,low
22,9.0,0.95,6,304,4,0,1,0,sales,low
23,46.0,0.57,2,139,3,0,1,0,sales,low
24,40.0,0.53,2,158,3,0,1,0,sales,low
25,89.0,0.92,5,242,5,0,1,0,sales,low
26,82.0,0.87,4,239,5,0,1,0,sales,low
27,40.0,0.49,2,135,3,0,1,0,sales,low
28,41.0,0.46,2,128,3,0,1,0,accounting,low
29,38.0,0.5,2,132,3,0,1,0,accounting,low
30,9.0,0.62,6,294,4,0,1,0,accounting,low
31,45.0,0.57,2,134,3,0,1,0,hr,low
32,40.0,0.51,2,145,3,0,1,0,hr,low
33,45.0,0.55,2,140,3,0,1,0,hr,low
34,84.0,0.87,4,246,6,0,1,0,hr,low
35,10.0,0.94,6,255,4,0,1,0,technical,low
36,38.0,0.46,2,137,3,0,1,0,technical,low
37,45.0,0.5,2,126,3,0,1,0,technical,low
38,11.0,0.89,6,306,4,0,1,0,technical,low
39,41.0,0.54,2,152,3,0,1,0,technical,low
40,87.0,0.88,5,269,5,0,1,0,technical,low
41,45.0,0.48,2,158,3,0,1,0,technical,low
42,40.0,0.46,2,127,3,0,1,0,technical,low
43,10.0,0.8,7,281,4,0,1,0,technical,low
44,9.0,0.89,6,276,4,0,1,0,technical,low
45,84.0,0.74,3,182,4,0,1,0,technical,low
46,40.0,0.55,2,147,3,0,1,0,support,low
47,56.99999999999999,0.7,3,273,6,0,1,0,support,low
48,40.0,0.54,2,148,3,0,1,0,support,low
49,43.0,0.47,2,147,3,0,1,0,support,low
50,13.0,0.78,6,152,2,0,1,0,support,low
51,44.0,0.55,2,135,3,0,1,0,support,low
52,38.0,0.55,2,134,3,0,1,0,support,low
53,39.0,0.54,2,132,3,0,1,0,support,low
54,10.0,0.92,7,307,4,0,1,0,support,low
55,37.0,0.46,2,140,3,0,1,0,support,low
56,11.0,0.94,7,255,4,0,1,0,support,low
57,10.0,0.81,6,309,4,0,1,0,technical,low
58,38.0,0.54,2,128,3,0,1,0,technical,low
59,85.0,1.0,4,225,5,0,1,0,technical,low
60,85.0,0.91,5,226,5,0,1,0,management,medium
61,11.0,0.93,7,308,4,0,1,0,IT,medium
62,10.0,0.95,6,244,5,0,1,0,IT,medium
63,36.0,0.56,2,132,3,0,1,0,IT,medium
64,11.0,0.94,6,286,4,0,1,0,IT,medium
65,81.0,0.7,6,161,4,0,1,0,IT,medium
66,43.0,0.54,2,153,3,0,1,0,product_mng,medium
67,90.0,0.98,4,264,6,0,1,0,product_mng,medium
68,76.0,0.86,5,223,5,1,1,0,product_mng,medium
69,43.0,0.5,2,135,3,0,1,0,product_mng,medium
70,74.0,0.99,2,277,3,0,1,0,IT,medium
71,9.0,0.77,5,275,4,0,1,0,product_mng,medium
72,45.0,0.49,2,149,3,0,1,0,product_mng,high
73,9.0,0.87,7,295,4,0,1,0,product_mng,low
74,11.0,0.97,6,277,4,0,1,0,product_mng,medium
75,11.0,0.79,7,306,4,0,1,0,product_mng,medium
76,10.0,0.83,6,295,4,0,1,0,product_mng,medium
77,40.0,0.54,2,137,3,0,1,0,marketing,medium
78,43.0,0.56,2,157,3,0,1,0,sales,low
79,39.0,0.56,2,142,3,0,1,0,accounting,low
80,45.0,0.54,2,140,3,0,1,0,support,low
81,38.0,0.49,2,151,3,0,1,0,technical,low
82,79.0,0.59,4,139,3,0,1,1,management,low
83,84.0,0.85,4,249,6,0,1,0,marketing,low
84,11.0,0.77,6,291,4,0,1,0,marketing,low
85,11.0,0.87,6,305,4,0,1,0,marketing,low
86,17.0,0.84,5,232,3,0,1,0,sales,low
87,44.0,0.45,2,132,3,0,1,0,sales,low
88,37.0,0.57,2,130,3,0,1,0,sales,low
89,10.0,0.79,6,291,4,0,1,0,sales,low
90,40.0,0.5,2,130,3,0,1,0,sales,low
91,89.0,1.0,5,246,5,0,1,0,sales,low
92,42.0,0.48,2,143,3,0,1,0,sales,low
93,46.0,0.55,2,129,3,0,1,0,sales,low
94,9.0,0.83,6,255,4,0,1,0,sales,low
95,37.0,0.51,2,155,3,0,1,0,sales,low
96,10.0,0.77,6,265,4,0,1,0,sales,low
97,10.0,0.84,6,279,4,0,1,0,sales,low
98,11.0,0.97,6,284,4,0,1,0,sales,low
99,90.0,1.0,5,221,6,0,1,0,sales,medium
100,38.0,0.52,2,154,3,0,1,0,sales,medium
101,36.0,0.52,2,147,3,0,1,0,sales,medium
102,42.0,0.46,2,150,3,0,1,0,sales,medium
103,9.0,0.94,7,267,4,0,1,0,sales,medium
104,43.0,0.52,2,158,3,0,1,0,sales,medium
105,24.0,0.46,7,224,5,0,1,0,accounting,medium
106,91.0,1.0,4,257,5,0,1,0,accounting,medium
107,44.0,0.5,2,148,3,0,1,0,accounting,medium
108,71.0,0.87,3,177,4,0,1,0,hr,medium
109,40.0,0.49,2,155,3,0,1,0,hr,medium
110,43.0,0.47,2,144,3,0,1,0,hr,medium
111,9.0,0.85,6,289,4,0,1,0,hr,high
112,43.0,0.52,2,160,3,0,1,0,technical,low
113,90.0,0.96,4,258,5,0,1,0,technical,medium
114,84.0,1.0,5,234,5,0,1,0,technical,medium
115,37.0,0.48,2,137,3,0,1,0,technical,medium
116,86.0,0.68,5,263,2,0,1,0,technical,medium
117,11.0,0.84,6,251,4,0,1,0,technical,low
118,37.0,0.57,2,133,3,0,1,0,technical,low
119,40.0,0.46,2,132,3,0,1,0,technical,low
120,14.000000000000002,0.62,4,158,4,1,1,0,technical,low
121,40.0,0.46,2,135,3,0,1,0,technical,low
122,75.0,1.0,4,216,6,0,1,0,technical,low
123,11.0,0.84,6,300,5,1,1,0,support,low
124,46.0,0.49,2,138,3,0,1,0,support,low
125,11.0,0.92,6,260,4,0,1,0,support,low
126,38.0,0.49,2,132,3,0,1,0,support,low
127,70.0,0.89,3,183,5,0,1,0,support,low
128,9.0,0.82,6,250,4,0,1,0,support,low
129,37.0,0.45,2,151,3,0,1,0,support,low
130,10.0,0.83,6,292,4,0,1,0,support,low
131,38.0,0.57,2,140,3,0,1,0,support,low
132,90.0,1.0,5,221,5,0,1,0,support,low
133,44.0,0.51,2,138,3,0,1,0,support,low
134,36.0,0.5,2,132,3,0,1,0,technical,low
135,31.0,0.84,7,133,5,0,1,0,technical,low
136,10.0,0.84,6,283,4,1,1,0,technical,low
137,42.0,0.48,2,129,3,0,1,0,management,low
138,74.0,1.0,4,249,5,0,1,0,IT,low
139,73.0,0.87,5,257,5,0,1,0,IT,low
140,9.0,0.96,6,245,4,0,1,0,IT,low
141,45.0,0.53,2,155,3,0,1,0,IT,low
142,11.0,0.8,6,256,4,0,1,0,IT,low
143,37.0,0.47,2,152,3,0,1,0,product_mng,low
144,84.0,0.99,4,267,5,0,1,0,product_mng,low
145,41.0,0.46,2,151,3,0,1,0,product_mng,low
146,76.0,0.92,4,239,5,0,1,0,product_mng,low
147,11.0,0.87,6,306,4,0,1,0,IT,low
148,84.0,0.88,4,263,5,1,1,0,marketing,low
149,39.0,0.5,2,147,3,0,1,0,marketing,low
150,11.0,0.91,6,278,4,0,1,0,marketing,low
151,45.0,0.56,2,154,3,0,1,0,marketing,low
152,37.0,0.52,2,143,3,0,1,0,marketing,low
153,40.0,0.52,2,155,3,0,1,0,marketing,low
154,39.0,0.48,2,160,3,0,1,0,sales,low
155,11.0,0.8,6,304,4,0,1,0,accounting,low
156,83.0,1.0,5,240,5,0,1,0,support,low
157,11.0,0.92,6,305,4,0,1,0,technical,low
158,39.0,0.5,2,136,3,0,1,0,management,low
159,45.0,0.45,2,132,3,0,1,0,marketing,low
160,10.0,0.95,7,301,4,0,1,0,marketing,low
161,90.0,0.98,5,243,6,0,1,0,marketing,low
162,45.0,0.51,2,147,3,0,1,0,sales,low
163,79.0,0.89,5,239,5,0,1,0,sales,low
164,90.0,0.99,5,260,5,0,1,0,sales,low
165,11.0,0.84,7,296,4,0,1,0,sales,low
166,43.0,0.55,2,129,3,0,1,0,sales,low
167,31.0,0.54,5,132,5,0,1,0,sales,low
168,32.0,0.5,2,135,5,0,1,0,sales,low
169,45.0,0.57,2,158,3,0,1,0,sales,low
170,81.0,0.99,4,259,5,0,1,0,sales,low
171,41.0,0.46,2,160,3,0,1,1,sales,low
172,11.0,0.78,7,278,4,0,1,0,sales,low
173,10.0,0.88,6,284,4,0,1,0,sales,low
174,70.0,0.53,2,274,4,0,1,0,sales,low
175,54.0,0.74,4,164,2,0,1,0,sales,low
176,41.0,0.48,2,148,3,0,1,0,sales,low
177,38.0,0.5,2,140,3,0,1,0,sales,medium
178,37.0,0.51,2,127,3,0,1,0,sales,medium
179,11.0,0.85,6,308,5,0,1,0,sales,medium
180,40.0,0.47,2,146,3,0,1,0,sales,medium
181,10.0,0.84,6,261,4,0,1,0,accounting,medium
182,89.0,0.99,5,257,5,0,1,0,accounting,medium
183,11.0,0.8,6,285,4,0,1,0,accounting,medium
184,36.0,0.55,2,141,3,0,1,0,hr,medium
185,40.0,0.46,2,127,3,0,1,0,hr,medium
186,9.0,0.85,6,297,4,0,1,0,hr,medium
187,40.0,0.46,2,143,3,0,1,0,hr,medium
188,37.0,0.55,2,152,3,0,1,0,technical,medium
189,44.0,0.51,2,156,3,0,1,0,technical,high
190,9.0,0.8,7,283,5,0,1,0,technical,low
191,92.0,0.87,4,226,6,1,1,0,technical,medium
192,74.0,0.91,4,232,5,0,1,0,technical,medium
193,9.0,0.82,6,249,4,0,1,0,technical,medium
