;satisfaction_level;last_evaluation;number_project;average_montly_hours;time_spend_company;Work_accident;left;promotion_last_5years;sales
0;38.0;0.53;2;157;3;0;1;0;sales
1;80.0;0.86;5;262;6;0;1;0;sales
2;11.0;0.88;7;272;4;0;1;0;sales
3;72.0;0.87;5;223;5;0;1;0;sales
4;37.0;0.52;2;159;3;0;1;0;sales
5;41.0;0.5;2;153;3;0;1;0;sales
6;10.0;0.77;6;247;4;0;1;0;sales
7;92.0;0.85;5;259;5;0;1;0;sales
8;89.0;1.0;5;224;5;0;1;0;sales
9;42.0;0.53;2;142;3;0;1;0;sales
10;45.0;0.54;2;135;3;0;1;0;sales
11;11.0;0.81;6;305;4;0;1;0;sales
12;84.0;0.92;4;234;5;0;1;0;sales
13;41.0;0.55;2;148;3;0;1;0;sales
14;36.0;0.56;2;137;3;0;1;0;sales
15;38.0;0.54;2;143;3;0;1;0;sales
16;45.0;0.47;2;160;3;0;1;0;sales
17;78.0;0.99;4;255;6;0;1;0;sales
18;45.0;0.51;2;160;3;1;1;1;sales
19;76.0;0.89;5;262;5;0;1;0;sales
20;11.0;0.83;6;282;4;0;1;0;sales
21;38.0;0.55;2;147;3;0;1;0;sales
22;9.0;0.95;6;304;4;0;1;0;sales
23;46.0;0.57;2;139;3;0;1;0;sales
24;40.0;0.53;2;158;3;0;1;0;sales
25;89.0;0.92;5;242;5;0;1;0;sales
26;82.0;0.87;4;239;5;0;1;0;sales
27;40.0;0.49;2;135;3;0;1;0;sales
28;41.0;0.46;2;128;3;0;1;0;accounting
29;38.0;0.5;2;132;3;0;1;0;accounting
30;9.0;0.62;6;294;4;0;1;0;accounting
31;45.0;0.57;2;134;3;0;1;0;hr
32;40.0;0.51;2;145;3;0;1;0;hr
33;45.0;0.55;2;140;3;0;1;0;hr
34;84.0;0.87;4;246;6;0;1;0;hr
35;10.0;0.94;6;255;4;0;1;0;technical
36;38.0;0.46;2;137;3;0;1;0;technical
37;45.0;0.5;2;126;3;0;1;0;technical
38;11.0;0.89;6;306;4;0;1;0;technical
39;41.0;0.54;2;152;3;0;1;0;technical
40;87.0;0.88;5;269;5;0;1;0;technical
41;45.0;0.48;2;158;3;0;1;0;technical
42;40.0;0.46;2;127;3;0;1;0;technical
43;10.0;0.8;7;281;4;0;1;0;technical
44;9.0;0.89;6;276;4;0;1;0;technical
45;84.0;0.74;3;182;4;0;1;0;technical
